value,type,confidence,created_ts,modified_ts,status
93.218.178.176,ip,100,2022-03-23T07:39:07.168Z,2022-03-23T07:39:11.440Z,active
84.174.137.211,ip,100,2022-03-23T07:39:07.193Z,2022-03-23T07:39:11.433Z,active
82.207.202.142,ip,100,2022-03-23T07:39:07.213Z,2022-03-23T07:39:11.427Z,active
94.134.40.172,ip,100,2022-03-23T07:39:07.234Z,2022-03-23T07:39:11.419Z,active
45.130.92.175,ip,100,2022-03-23T07:39:07.256Z,2022-03-23T07:39:11.412Z,active
89.182.36.98,ip,100,2022-03-23T07:39:07.275Z,2022-03-23T07:39:11.405Z,active
77.8.187.156,ip,100,2022-03-23T07:39:07.294Z,2022-03-23T07:39:11.398Z,active
87.123.132.184,ip,100,2022-03-23T07:39:07.312Z,2022-03-23T07:39:11.392Z,active
93.181.16.65,ip,100,2022-03-23T07:39:07.332Z,2022-03-23T07:39:11.385Z,active
89.247.156.167,ip,100,2022-03-23T07:39:07.351Z,2022-03-23T07:39:11.378Z,active
77.13.197.8,ip,100,2022-03-23T07:39:07.370Z,2022-03-23T07:39:11.372Z,active
79.201.179.198,ip,100,2022-03-23T07:39:07.390Z,2022-03-23T07:39:11.360Z,active
178.19.227.119,ip,100,2022-03-23T06:32:11.048Z,2022-03-23T06:32:49.260Z,active
77.181.143.126,ip,100,2022-03-23T06:32:10.858Z,2022-03-23T06:32:40.085Z,active
91.41.209.219,ip,100,2022-03-23T06:32:10.883Z,2022-03-23T06:32:40.078Z,active
84.158.120.65,ip,100,2022-03-23T06:32:10.903Z,2022-03-23T06:32:40.070Z,active
95.89.117.7,ip,100,2022-03-23T06:32:10.923Z,2022-03-23T06:32:40.063Z,active
89.14.118.251,ip,100,2022-03-23T06:32:10.943Z,2022-03-23T06:32:40.055Z,active
37.138.224.204,ip,100,2022-03-23T06:32:10.964Z,2022-03-23T06:32:40.048Z,active
192.119.61.235,ip,100,2022-03-23T06:32:10.984Z,2022-03-23T06:32:40.041Z,active
46.142.148.241,ip,100,2022-03-23T06:32:11.004Z,2022-03-23T06:32:40.035Z,active
177.62.40.81,ip,100,2022-03-23T06:32:11.024Z,2022-03-23T06:32:40.027Z,active
83.135.145.149,ip,100,2022-03-23T06:32:11.068Z,2022-03-23T06:32:40.013Z,active
84.44.234.208,ip,100,2022-03-23T06:32:11.087Z,2022-03-23T06:32:40.006Z,active
95.112.218.71,ip,100,2022-03-23T06:32:11.109Z,2022-03-23T06:32:39.999Z,active
92.208.166.98,ip,100,2022-03-23T06:32:11.131Z,2022-03-23T06:32:39.991Z,active
79.225.88.131,ip,100,2022-03-23T06:32:11.151Z,2022-03-23T06:32:39.983Z,active
95.116.100.53,ip,100,2022-03-23T06:32:11.171Z,2022-03-23T06:32:39.976Z,active
46.142.65.199,ip,100,2022-03-23T06:32:11.190Z,2022-03-23T06:32:39.970Z,active
95.116.146.19,ip,100,2022-03-23T06:32:11.210Z,2022-03-23T06:32:39.962Z,active
92.201.196.223,ip,100,2022-03-23T06:32:11.229Z,2022-03-23T06:32:39.955Z,active
84.166.218.80,ip,100,2022-03-23T06:32:11.249Z,2022-03-23T06:32:39.948Z,active
37.138.34.149,ip,100,2022-03-23T06:32:11.269Z,2022-03-23T06:32:39.941Z,active
46.244.228.206,ip,100,2022-03-23T06:32:11.288Z,2022-03-23T06:32:39.931Z,active
188.174.52.67,ip,100,2022-03-23T06:32:11.308Z,2022-03-23T06:32:39.924Z,active
89.245.12.142,ip,100,2022-03-23T06:32:11.326Z,2022-03-23T06:32:39.917Z,active
87.123.121.9,ip,100,2022-03-23T06:32:11.345Z,2022-03-23T06:32:39.910Z,active
95.33.22.46,ip,100,2022-03-23T06:32:11.366Z,2022-03-23T06:32:39.903Z,active
91.60.109.32,ip,100,2022-03-23T06:32:11.385Z,2022-03-23T06:32:39.895Z,active
92.117.100.240,ip,100,2022-03-23T06:32:11.404Z,2022-03-23T06:32:39.889Z,active
46.142.12.101,ip,100,2022-03-23T06:32:11.424Z,2022-03-23T06:32:39.882Z,active
79.205.247.85,ip,100,2022-03-23T06:32:11.443Z,2022-03-23T06:32:39.874Z,active
91.9.41.190,ip,100,2022-03-23T06:32:11.462Z,2022-03-23T06:32:39.867Z,active
84.148.250.22,ip,100,2022-03-23T06:32:11.481Z,2022-03-23T06:32:39.860Z,active
194.166.187.34,ip,100,2022-03-23T06:32:11.500Z,2022-03-23T06:32:39.850Z,active
77.12.117.125,ip,100,2022-03-23T06:32:11.519Z,2022-03-23T06:32:39.843Z,active
83.22.112.112,ip,100,2022-03-23T06:32:11.538Z,2022-03-23T06:32:39.836Z,active
93.200.76.66,ip,100,2022-03-23T06:32:11.557Z,2022-03-23T06:32:39.827Z,active
95.115.3.57,ip,100,2022-03-23T06:32:11.575Z,2022-03-23T06:32:39.820Z,active
93.231.8.241,ip,100,2022-03-23T06:32:11.595Z,2022-03-23T06:32:39.812Z,active
109.250.173.6,ip,100,2022-03-23T06:32:11.613Z,2022-03-23T06:32:39.805Z,active
85.212.153.21,ip,100,2022-03-23T06:32:11.632Z,2022-03-23T06:32:39.798Z,active
84.170.137.11,ip,100,2022-03-23T06:32:11.651Z,2022-03-23T06:32:39.790Z,active
84.158.31.59,ip,100,2022-03-23T06:32:11.670Z,2022-03-23T06:32:39.783Z,active
89.164.128.137,ip,100,2022-03-23T06:32:11.689Z,2022-03-23T06:32:39.775Z,active
95.116.188.166,ip,100,2022-03-23T06:32:11.709Z,2022-03-23T06:32:39.768Z,active
77.6.130.74,ip,100,2022-03-23T06:32:11.728Z,2022-03-23T06:32:39.761Z,active
85.212.66.219,ip,100,2022-03-23T06:32:11.747Z,2022-03-23T06:32:39.754Z,active
62.158.110.218,ip,100,2022-03-23T06:32:11.767Z,2022-03-23T06:32:39.747Z,active
84.133.86.180,ip,100,2022-03-23T06:32:11.788Z,2022-03-23T06:32:39.740Z,active
78.54.107.17,ip,100,2022-03-23T06:32:11.809Z,2022-03-23T06:32:39.733Z,active
93.104.183.234,ip,100,2022-03-23T06:32:11.828Z,2022-03-23T06:32:39.723Z,active
77.1.255.11,ip,100,2022-03-23T06:32:11.846Z,2022-03-23T06:32:39.716Z,active
84.155.126.224,ip,100,2022-03-23T06:32:11.865Z,2022-03-23T06:32:39.709Z,active
80.146.117.202,ip,100,2022-03-23T06:32:11.884Z,2022-03-23T06:32:39.702Z,active
91.2.201.101,ip,100,2022-03-23T06:32:11.903Z,2022-03-23T06:32:39.693Z,active
91.61.224.73,ip,100,2022-03-23T06:32:11.922Z,2022-03-23T06:32:39.685Z,active
151.20.193.93,ip,91,2022-03-23T06:00:22.219Z,2022-03-23T06:00:30.061Z,active
177.62.40.81,ip,100,2022-03-23T06:00:22.261Z,2022-03-23T06:00:30.051Z,active
92.252.104.133,ip,100,2022-03-23T04:27:29.329Z,2022-03-23T04:27:40.927Z,active
193.250.115.62,ip,100,2022-03-23T04:27:28.799Z,2022-03-23T04:27:37.461Z,active
77.37.103.30,ip,100,2022-03-23T04:27:28.827Z,2022-03-23T04:27:37.449Z,active
94.220.49.234,ip,100,2022-03-23T04:27:28.850Z,2022-03-23T04:27:37.442Z,active
77.10.102.132,ip,100,2022-03-23T04:27:28.870Z,2022-03-23T04:27:37.432Z,active
93.205.167.248,ip,100,2022-03-23T04:27:28.891Z,2022-03-23T04:27:37.423Z,active
87.122.91.80,ip,100,2022-03-23T04:27:28.912Z,2022-03-23T04:27:37.410Z,active
184.65.64.133,ip,100,2022-03-23T04:27:28.931Z,2022-03-23T04:27:37.403Z,active
85.212.121.245,ip,100,2022-03-23T04:27:28.952Z,2022-03-23T04:27:37.389Z,active
89.14.77.216,ip,100,2022-03-23T04:27:28.975Z,2022-03-23T04:27:37.382Z,active
91.62.28.211,ip,100,2022-03-23T04:27:28.998Z,2022-03-23T04:27:37.371Z,active
85.212.241.131,ip,100,2022-03-23T04:27:29.016Z,2022-03-23T04:27:37.363Z,active
77.8.90.69,ip,100,2022-03-23T04:27:29.037Z,2022-03-23T04:27:37.354Z,active
46.89.104.7,ip,100,2022-03-23T04:27:29.059Z,2022-03-23T04:27:37.346Z,active
149.224.243.230,ip,100,2022-03-23T04:27:29.086Z,2022-03-23T04:27:37.333Z,active
93.198.215.121,ip,100,2022-03-23T04:27:29.107Z,2022-03-23T04:27:37.325Z,active
93.193.192.76,ip,100,2022-03-23T04:27:29.129Z,2022-03-23T04:27:37.317Z,active
89.246.200.123,ip,100,2022-03-23T04:27:29.147Z,2022-03-23T04:27:37.308Z,active
151.25.175.43,ip,100,2022-03-23T04:27:29.168Z,2022-03-23T04:27:37.298Z,active
83.135.142.146,ip,100,2022-03-23T04:27:29.187Z,2022-03-23T04:27:37.285Z,active
77.180.162.30,ip,100,2022-03-23T04:27:29.209Z,2022-03-23T04:27:37.276Z,active
78.55.186.25,ip,100,2022-03-23T04:27:29.228Z,2022-03-23T04:27:37.264Z,active
151.20.193.93,ip,100,2022-03-23T04:27:29.253Z,2022-03-23T04:27:37.257Z,active
217.88.211.185,ip,100,2022-03-23T04:27:29.280Z,2022-03-23T04:27:37.248Z,active
93.132.1.232,ip,100,2022-03-23T04:27:29.305Z,2022-03-23T04:27:37.238Z,active
188.100.197.137,ip,100,2022-03-23T04:27:29.352Z,2022-03-23T04:27:37.220Z,active
87.158.242.197,ip,100,2022-03-23T04:27:29.376Z,2022-03-23T04:27:37.213Z,active
77.11.85.87,ip,100,2022-03-23T04:27:29.398Z,2022-03-23T04:27:37.206Z,active
77.0.73.201,ip,100,2022-03-23T04:27:29.418Z,2022-03-23T04:27:37.197Z,active
87.123.227.138,ip,100,2022-03-23T04:27:29.443Z,2022-03-23T04:27:37.188Z,active
81.32.21.132,ip,100,2022-03-23T04:27:29.463Z,2022-03-23T04:27:37.181Z,active
